X1,Y1,X2,Y2
1.0332810810816264e6,24599.125692391317,1.4270989667189185e12,1.0203491940087422e11
1.0502675364992458e6,25208.070931890867,1.427098949732463e12,1.0287127079192897e11
1.067391937434802e6,25826.959867094953,1.427098932608062e12,1.0370762217304004e11
1.0846542664338679e6,26455.872072800597,1.427098915345733e12,1.0454397354412782e11
1.10205450590441e6,27094.887093269794,1.4270988979454934e12,1.0538032490511281e11
1.119592638116878e6,27744.084441994164,1.4270988804073613e12,1.0621667625591545e11
1.1372686452042935e6,28403.5436014599,1.4270988627313542e12,1.070530275964563e11
1.155082509162341e6,29073.344022912945,1.4270988449174902e12,1.0788937892665588e11
1.1730342118494585e6,29753.56512612444,1.4270988269657876e12,1.0872573024643478e11
1.19112373498693e6,30444.286299156436,1.4270988088762646e12,1.0956208155571362e11
1.2093510601589764e6,31145.586898127884,1.4270987906489395e12,1.1039843285441302e11
1.22771616881285e6,31857.546246980866,1.4270987722838308e12,1.1123478414245367e11
1.2462190422589276e6,32580.24363724713,1.4270987537809575e12,1.1207113541975629e11
1.2648596616708038e6,33313.75832781487,1.4270987351403381e12,1.1290748668624161e11
1.2836380080853878e6,34058.16954469577,1.4270987163619917e12,1.137438379418304e11
1.3025540624029979e6,34813.55648079238,1.4270986974459373e12,1.1458018918644347e11
1.3216078053874583e6,35579.99829566569,1.4270986783921943e12,1.1541654042000165e11
1.3407992176661952e6,36357.574115303054,1.427098659200782e12,1.1625289164242583e11
1.3601282797303358e6,37146.36303188635,1.42709863987172e12,1.170892428536369e11
1.3795949719348056e6,37946.44410356044,1.4270986204050276e12,1.1792559405355583e11
1.3991992744984273e6,38757.8963542019,1.427098600800725e12,1.1876194524210358e11
1.418941167504021e6,39580.798773188064,1.427098581058832e12,1.1959829641920116e11
1.4388206308985038e6,40415.23031516633,1.4270985611793687e12,1.2043464758476962e11
1.4588376444929913e6,41261.26989982377,1.427098541162355e12,1.2127099873873004e11
1.4789921879628988e6,42118.99641165701,1.4270985210078115e12,1.2210734988100354e11
1.4992842408480435e6,42988.48869974246,1.4270985007157588e12,1.2294370101151125e11
1.5197137825527473e6,43869.82557750676,1.427098480286217e12,1.2378005213017436e11
1.5402807923459406e6,44763.08582249757,1.4270984597192073e12,1.2461640323691411e11
1.5609852493612657e6,45668.348176154665,1.4270984390147502e12,1.2545275433165175e11
1.5818271325971824e6,46585.69134358131,1.427098418172867e12,1.2628910541430858e11
1.602806420917073e6,47515.19399331596,1.4270983971935786e12,1.2712545648480592e11
1.6239230930493488e6,48456.93475710421,1.4270983760769065e12,1.2796180754306516e11
1.6451771275875557e6,49410.99222967114,1.427098354822872e12,1.2879815858900768e11
1.666568502990483e6,50377.44496849387,1.4270983334314966e12,1.2963450962255493e11
1.6880971975822703e6,51356.37149357453,1.427098311902802e12,1.304708606436284e11
1.7097631895525164e6,52347.850287213405,1.42709829023681e12,1.3130721165214961e11
1.7315664569563887e6,53351.95979378254,1.4270982684335427e12,1.3214356264804012e11
